,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOGL200515P00530000,1585318482,530.0,1.05,0.0,0.95,0.0,0.0,,0.0,1.245609240722656,False,REGULAR,USD
1,GOOGL200515P00550000,1584641731,550.0,2.35,0.0,0.8,0.0,0.0,1.0,0.0,1.173832255859375,False,REGULAR,USD
2,GOOGL200515P00560000,1585250205,560.0,0.7,0.0,0.8,0.0,0.0,1.0,0.0,1.150394873046875,False,REGULAR,USD
3,GOOGL200515P00565000,1584742137,565.0,8.25,0.0,0.75,0.0,0.0,,0.0,1.1308637207031251,False,REGULAR,USD
4,GOOGL200515P00570000,1585166331,570.0,1.15,0.0,0.8,0.0,0.0,1.0,0.0,1.126957490234375,False,REGULAR,USD
5,GOOGL200515P00575000,1584561010,575.0,8.74,0.0,0.75,0.0,0.0,,0.0,1.1079146166992189,False,REGULAR,USD
6,GOOGL200515P00590000,1584712655,590.0,4.7,0.0,1.05,0.0,0.0,1.0,0.0,1.115238798828125,False,REGULAR,USD
7,GOOGL200515P00600000,1585840938,600.0,1.4,0.0,0.85,0.0,0.0,1.0,0.0,1.0673874755859378,False,REGULAR,USD
8,GOOGL200515P00605000,1586192961,605.0,0.2,0.0,0.85,0.0,0.0,4.0,0.0,1.0561570629882815,False,REGULAR,USD
9,GOOGL200515P00610000,1586193057,610.0,0.2,0.0,1.05,0.0,0.0,1.0,0.0,1.0705612878417972,False,REGULAR,USD
10,GOOGL200515P00615000,1585759605,615.0,1.15,0.0,1.05,0.0,0.0,1.0,0.0,1.0595750146484377,False,REGULAR,USD
11,GOOGL200515P00625000,1586179803,625.0,0.95,0.0,1.05,0.0,0.0,,0.0,1.0380907470703127,False,REGULAR,USD
12,GOOGL200515P00630000,1584331505,630.0,6.2,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
13,GOOGL200515P00645000,1585943738,645.0,1.83,0.0,0.85,0.0,0.0,2.0,0.0,0.971679970703125,False,REGULAR,USD
14,GOOGL200515P00650000,1584645583,650.0,6.45,0.0,0.85,0.0,0.0,1.0,0.0,0.9619144433593749,False,REGULAR,USD
15,GOOGL200515P00660000,1585078636,660.0,2.5,0.0,0.85,0.0,0.0,1.0,0.0,0.9414068359375,False,REGULAR,USD
16,GOOGL200515P00665000,1584992248,665.0,6.0,0.0,1.05,0.0,0.0,1.0,0.0,0.9545902978515625,False,REGULAR,USD
17,GOOGL200515P00670000,1585933942,670.0,1.96,0.0,1.05,0.0,0.0,1.0,0.0,0.9443364941406249,False,REGULAR,USD
18,GOOGL200515P00680000,1584627311,680.0,13.2,0.0,1.05,0.0,0.0,1.0,0.0,0.9243171630859376,False,REGULAR,USD
19,GOOGL200515P00690000,1586373055,690.0,0.4,0.0,1.05,0.0,0.0,,0.0,0.9047861083984375,False,REGULAR,USD
20,GOOGL200515P00695000,1586372949,695.0,0.4,0.0,1.05,0.0,0.0,,0.0,0.8950205810546874,False,REGULAR,USD
21,GOOGL200515P00700000,1587138884,700.0,0.19,0.0,1.1,-0.32,-62.745102,4.0,0.0,0.8901378173828124,False,REGULAR,USD
22,GOOGL200515P00705000,1586790706,705.0,0.35,0.0,0.9,0.0,0.0,7.0,0.0,0.8598646826171875,False,REGULAR,USD
23,GOOGL200515P00710000,1587139554,710.0,0.15,0.0,0.65,-0.25,-62.5,1.0,0.0,0.8203142968749999,False,REGULAR,USD
