,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BIIB200501C00245000,1584556002,245.0,62.5,75.3,79.6,0.0,0.0,4.0,4.0,0.7251004052734374,True,REGULAR,USD
1,BIIB200501C00255000,1585583746,255.0,61.5,66.0,70.2,0.0,0.0,1.0,1.0,0.6999541723632813,True,REGULAR,USD
2,BIIB200501C00277500,1585058054,277.5,22.26,45.5,49.7,0.0,0.0,1.0,1.0,0.6175575354003908,True,REGULAR,USD
3,BIIB200501C00280000,1584724014,280.0,34.1,43.7,47.7,0.0,0.0,1.0,2.0,0.6231727136230469,True,REGULAR,USD
4,BIIB200501C00282500,1584730438,282.5,28.0,41.5,46.0,0.0,0.0,3.0,3.0,0.6237830590820312,True,REGULAR,USD
5,BIIB200501C00285000,1584730430,285.0,21.1,39.8,43.5,0.0,0.0,1.0,1.0,0.6154213262939454,True,REGULAR,USD
6,BIIB200501C00287500,1585059973,287.5,17.0,37.7,41.6,0.0,0.0,3.0,3.0,0.6102333898925782,True,REGULAR,USD
7,BIIB200501C00290000,1585240250,290.0,25.5,35.8,39.5,0.0,0.0,1.0,3.0,0.6035195898437502,True,REGULAR,USD
8,BIIB200501C00292500,1584332060,292.5,24.96,33.5,37.6,0.0,0.0,,,0.5913126806640626,True,REGULAR,USD
9,BIIB200501C00295000,1586373254,295.0,30.0,32.1,35.8,0.0,0.0,1.0,1.0,0.5977213079833985,True,REGULAR,USD
10,BIIB200501C00297500,1584367011,297.5,21.0,30.0,34.2,0.0,0.0,,5.0,0.5922281988525393,True,REGULAR,USD
11,BIIB200501C00300000,1586449513,300.0,29.51,28.1,32.0,12.210001,70.57804,1.0,16.0,0.5778240460205077,True,REGULAR,USD
12,BIIB200501C00305000,1585759110,305.0,22.0,24.9,28.9,0.0,0.0,1.0,4.0,0.5789226678466797,True,REGULAR,USD
13,BIIB200501C00307500,1586366611,307.5,18.9,23.5,27.1,0.0,0.0,1.0,2.0,0.5757488714599608,True,REGULAR,USD
14,BIIB200501C00310000,1585856952,310.0,14.4,22.2,25.3,0.0,0.0,1.0,6.0,0.5725140405273439,True,REGULAR,USD
15,BIIB200501C00312500,1585583775,312.5,19.7,20.3,24.3,0.0,0.0,,1.0,0.5708661077880859,True,REGULAR,USD
16,BIIB200501C00315000,1586180424,315.0,14.5,18.7,21.5,0.0,0.0,1.0,6.0,0.5430343548583985,True,REGULAR,USD
17,BIIB200501C00320000,1586355684,320.0,10.0,15.7,20.0,0.0,0.0,1.0,140.0,0.5521285021972657,True,REGULAR,USD
18,BIIB200501C00325000,1586272500,325.0,12.5,13.5,17.4,0.0,0.0,4.0,4.0,0.5488936712646486,False,REGULAR,USD
19,BIIB200501C00330000,1586460867,330.0,12.98,11.4,15.1,8.929999,220.49379,59.0,3.0,0.5448653912353516,False,REGULAR,USD
20,BIIB200501C00335000,1586267100,335.0,12.0,9.4,12.9,0.0,0.0,2.0,12.0,0.5368698657226563,False,REGULAR,USD
21,BIIB200501C00340000,1586446950,340.0,7.96,7.6,11.1,0.059999943,0.75949293,1.0,5.0,0.5314988256835937,False,REGULAR,USD
22,BIIB200501C00350000,1586369357,350.0,4.2,4.9,8.0,0.0,0.0,1.0,3.0,0.5235643347167969,False,REGULAR,USD
23,BIIB200501C00355000,1586452339,355.0,4.6,3.3,7.2,2.1,84.0,4.0,5.0,0.5183153637695312,False,REGULAR,USD
24,BIIB200501C00360000,1586453447,360.0,4.5,2.1,6.2,-0.19000006,-4.0511737,1.0,26.0,0.5096484582519532,False,REGULAR,USD
25,BIIB200501C00370000,1585597915,370.0,3.1,0.6,4.9,0.0,0.0,1.0,1.0,0.5090381127929688,False,REGULAR,USD
26,BIIB200501C00380000,1584453432,380.0,2.0,0.0,4.9,0.0,0.0,,1.0,0.553837469482422,False,REGULAR,USD
27,BIIB200501C00385000,1586360094,385.0,0.8,0.0,4.8,0.0,0.0,2.0,14.0,0.5803264624023439,False,REGULAR,USD
28,BIIB200501C00390000,1584539258,390.0,1.8,0.05,4.7,0.0,0.0,,6.0,0.6074258007812501,False,REGULAR,USD
29,BIIB200501C00400000,1585943444,400.0,1.0,0.0,4.5,0.0,0.0,2.0,2.0,0.6539341247558594,False,REGULAR,USD
30,BIIB200501C00410000,1584742689,410.0,1.3,0.0,3.7,0.0,0.0,,1.0,0.6743196630859377,False,REGULAR,USD
