,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMGN210115C00085000,1572461774,85.0,125.56,147.75,152.4,0.0,0.0,,0,0.6215858154296876,True,REGULAR,USD
1,AMGN210115C00090000,1572461785,90.0,120.13,142.7,147.5,0.0,0.0,2.0,0,0.5922892333984376,True,REGULAR,USD
2,AMGN210115C00095000,1560140039,95.0,94.47,86.6,91.0,0.0,0.0,35.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,AMGN210115C00100000,1584466257,100.0,104.7,127.3,130.7,0.0,0.0,280.0,16,1.0000000000000003e-05,True,REGULAR,USD
4,AMGN210115C00105000,1584465825,105.0,99.0,123.15,126.15,0.0,0.0,45.0,6,1.0000000000000003e-05,True,REGULAR,USD
5,AMGN210115C00110000,1573677595,110.0,110.35,125.05,129.8,0.0,0.0,440.0,0,0.6313513427734375,True,REGULAR,USD
6,AMGN210115C00115000,1573677595,115.0,105.4,120.05,124.8,0.0,0.0,3210.0,0,0.5994913098144532,True,REGULAR,USD
7,AMGN210115C00120000,1584720122,120.0,74.0,113.0,117.8,0.0,0.0,50.0,14,0.5856364678955077,True,REGULAR,USD
8,AMGN210115C00125000,1573677595,125.0,95.8,110.1,115.0,0.0,0.0,1200.0,0,0.5451705639648439,True,REGULAR,USD
9,AMGN210115C00130000,1584455022,130.0,78.0,95.3,99.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
10,AMGN210115C00135000,1581538747,135.0,91.65,63.05,66.8,0.0,0.0,230.0,29,1.0000000000000003e-05,True,REGULAR,USD
11,AMGN210115C00140000,1581621895,140.0,86.1,59.35,63.0,0.0,0.0,450.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,AMGN210115C00145000,1586202593,145.0,68.1,89.85,93.25,0.0,0.0,1.0,6,0.4618584088134766,True,REGULAR,USD
13,AMGN210115C00150000,1587061828,150.0,82.5,85.15,88.7,0.0,0.0,5.0,16,0.450200810546875,True,REGULAR,USD
14,AMGN210115C00155000,1579277977,155.0,88.2,67.85,69.9,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
15,AMGN210115C00160000,1585149960,160.0,42.0,76.25,79.8,0.0,0.0,1.0,45,0.4294490649414063,True,REGULAR,USD
16,AMGN210115C00165000,1586456941,165.0,57.05,71.9,75.5,0.0,0.0,3.0,41,0.42102629760742194,True,REGULAR,USD
17,AMGN210115C00170000,1584561006,170.0,51.65,66.65,69.1,0.0,0.0,2.0,0,0.3617007189941406,True,REGULAR,USD
18,AMGN210115C00175000,1585667193,175.0,39.75,63.25,66.5,0.0,0.0,3.0,118,0.3919128192138671,True,REGULAR,USD
19,AMGN210115C00180000,1587056089,180.0,55.19,59.2,62.45,0.0,0.0,1.0,255,0.3853821228027343,True,REGULAR,USD
20,AMGN210115C00185000,1585245497,185.0,25.5,55.15,58.4,0.0,0.0,3.0,368,0.37723401092529296,True,REGULAR,USD
21,AMGN210115C00190000,1587402646,190.0,55.7,51.15,54.85,0.0,0.0,1.0,715,0.3763490100097656,True,REGULAR,USD
22,AMGN210115C00195000,1586885091,195.0,41.53,47.25,50.55,0.0,0.0,1.0,348,0.3609988217163086,True,REGULAR,USD
23,AMGN210115C00200000,1587411135,200.0,47.4,43.6,47.3,0.0,0.0,12.0,420,0.3612429598999023,True,REGULAR,USD
24,AMGN210115C00205000,1586873456,205.0,32.45,40.15,43.25,0.0,0.0,2.0,564,0.3474186352539062,True,REGULAR,USD
25,AMGN210115C00210000,1587389452,210.0,37.0,36.7,39.85,0.0,0.0,2.0,627,0.34180345703125,True,REGULAR,USD
26,AMGN210115C00215000,1586879843,215.0,25.75,33.15,37.15,0.0,0.0,7.0,230,0.34409225250244135,True,REGULAR,USD
27,AMGN210115C00220000,1587400782,220.0,33.67,30.1,33.55,0.0,0.0,15.0,398,0.33219051605224614,True,REGULAR,USD
28,AMGN210115C00225000,1587149675,225.0,26.67,27.6,30.2,0.0,0.0,2.0,314,0.3221503332519531,True,REGULAR,USD
29,AMGN210115C00230000,1587393725,230.0,26.08,24.95,27.4,0.0,0.0,4.0,744,0.3175117077636719,True,REGULAR,USD
30,AMGN210115C00240000,1587409100,240.0,21.94,20.5,22.95,0.0,0.0,18.0,1564,0.3170539486694336,False,REGULAR,USD
31,AMGN210115C00250000,1587477629,250.0,17.26,16.2,17.65,-0.30999947,-1.764368,3.0,1200,0.2985299639892578,False,REGULAR,USD
32,AMGN210115C00260000,1587410809,260.0,13.23,11.65,14.25,0.0,0.0,62.0,311,0.2963937548828125,False,REGULAR,USD
33,AMGN210115C00270000,1587477707,270.0,9.43,8.75,10.5,0.4300003,4.777781,1.0,317,0.28208115386962884,False,REGULAR,USD
34,AMGN210115C00280000,1587395304,280.0,6.8,6.15,7.75,0.0,0.0,17.0,620,0.2733532138061523,False,REGULAR,USD
35,AMGN210115C00290000,1587399955,290.0,5.1,2.94,4.95,0.0,0.0,4.0,153,0.2542188836669922,False,REGULAR,USD
36,AMGN210115C00300000,1587411488,300.0,4.0,2.68,5.3,0.0,0.0,41.0,330,0.28507184661865226,False,REGULAR,USD
37,AMGN210115C00310000,1583265890,310.0,0.62,0.0,1.97,0.0,0.0,17.0,52,0.2326126544189453,False,REGULAR,USD
38,AMGN210115C00320000,1587401647,320.0,1.8,0.3,2.82,0.0,0.0,70.0,74,0.27497062927246096,False,REGULAR,USD
39,AMGN210115C00330000,1584561069,330.0,1.58,0.39,0.99,0.0,0.0,1.0,62,0.2329178271484375,False,REGULAR,USD
