,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,XOM200501C00025000,1585056604,25.0,10.1,16.0,20.3,0.0,0.0,6.0,2,0.9062509375,True,REGULAR,USD
1,XOM200501C00027000,1586454712,27.0,17.7,14.1,18.6,1.5,9.259259,6.0,6,1.154301103515625,True,REGULAR,USD
2,XOM200501C00030000,1586190894,30.0,10.55,11.5,14.5,0.0,0.0,6.0,5,1.5771505517578124,True,REGULAR,USD
3,XOM200501C00031000,1586363865,31.0,11.89,10.6,14.4,0.0,0.0,1.0,2,0.9785158398437501,True,REGULAR,USD
4,XOM200501C00032000,1585664660,32.0,8.1,10.15,13.05,0.0,0.0,10.0,17,0.9648441015625,True,REGULAR,USD
5,XOM200501C00033000,1585843863,33.0,8.85,8.85,12.5,0.0,0.0,1.0,12,0.928711650390625,True,REGULAR,USD
6,XOM200501C00034000,1586281631,34.0,9.4,7.85,11.8,0.0,0.0,4.0,10,0.920899228515625,True,REGULAR,USD
7,XOM200501C00035000,1586447306,35.0,10.37,7.9,9.2,1.8699999,21.999998,5.0,70,0.7148466015625,True,REGULAR,USD
8,XOM200501C00035500,1585166039,35.5,5.0,7.0,10.1,0.0,0.0,,2,0.8896495410156249,True,REGULAR,USD
9,XOM200501C00036000,1586268177,36.0,7.9,6.0,9.95,0.0,0.0,3.0,4,0.8198260205078124,True,REGULAR,USD
10,XOM200501C00036500,1586372976,36.5,7.73,5.7,9.0,0.0,0.0,1.0,2,0.7324245507812499,True,REGULAR,USD
11,XOM200501C00037000,1586375402,37.0,7.34,6.6,7.8,0.0,0.0,3.0,379,0.8149432568359375,True,REGULAR,USD
12,XOM200501C00037500,1586443113,37.5,9.14,4.7,7.45,4.34,90.416664,1.0,18,0.5478560839843751,True,REGULAR,USD
13,XOM200501C00038000,1586375402,38.0,6.54,5.8,7.05,0.0,0.0,3.0,19,0.7983418603515625,True,REGULAR,USD
14,XOM200501C00038500,1585839892,38.5,6.0,5.1,6.5,0.0,0.0,10.0,9,0.7158231542968749,True,REGULAR,USD
15,XOM200501C00039000,1586444875,39.0,7.12,4.5,5.95,1.4200001,24.912283,5.0,28,0.649417568359375,True,REGULAR,USD
16,XOM200501C00039500,1586455820,39.5,5.78,4.4,5.7,0.3800001,7.0370393,73.0,104,0.6967803759765626,True,REGULAR,USD
17,XOM200501C00040000,1586460835,40.0,4.8,4.0,5.0,-0.5999999,-11.111109,295.0,1201,0.6367223828125,True,REGULAR,USD
18,XOM200501C00040500,1586457896,40.5,4.32,4.25,4.95,0.83000016,23.78224,13.0,29,0.7436549072265625,True,REGULAR,USD
19,XOM200501C00041000,1586454579,41.0,5.25,3.35,4.5,2.05,64.0625,21.0,56,0.648441015625,True,REGULAR,USD
20,XOM200501C00041500,1586461670,41.5,3.9,3.25,4.3,0.05000019,1.2987063,8.0,21,0.6821320849609377,True,REGULAR,USD
21,XOM200501C00042000,1586461809,42.0,3.47,2.73,3.9,-0.059999943,-1.6997151,10.0,31,0.6372106591796876,True,REGULAR,USD
22,XOM200501C00042500,1586459588,42.5,3.1,2.82,3.55,-0.1500001,-4.615388,90.0,389,0.6674837939453127,True,REGULAR,USD
23,XOM200501C00043000,1586460835,43.0,2.96,2.15,3.15,-0.53999996,-15.42857,130.0,49,0.5996133789062501,True,REGULAR,USD
24,XOM200501C00043500,1586460771,43.5,2.8,2.14,2.94,-0.45000005,-13.846156,5.0,77,0.6279334082031252,False,REGULAR,USD
25,XOM200501C00044000,1586461152,44.0,2.44,1.5,2.73,-0.49,-16.723549,142.0,45,0.5795940478515625,False,REGULAR,USD
26,XOM200501C00044500,1586461376,44.5,2.36,1.61,2.5,-0.6400001,-21.333336,207.0,229,0.6123085644531252,False,REGULAR,USD
27,XOM200501C00045000,1586461211,45.0,2.0,1.86,3.6,-0.3499999,-14.893614,579.0,572,0.81445498046875,False,REGULAR,USD
28,XOM200501C00045500,1586460488,45.5,1.7,1.28,2.29,-0.2299999,-11.917093,30.0,72,0.6347692773437501,False,REGULAR,USD
29,XOM200501C00046000,1586460746,46.0,1.67,1.09,1.88,-0.33000004,-16.500002,95.0,132,0.6010782080078126,False,REGULAR,USD
30,XOM200501C00047000,1586462339,47.0,1.26,0.0,1.61,-0.35000002,-21.739132,52.0,48,0.7050810742187501,False,REGULAR,USD
31,XOM200501C00047500,1586461508,47.5,1.18,0.0,4.5,0.03999996,3.5087686,70.0,17,0.8989267919921874,False,REGULAR,USD
32,XOM200501C00048000,1586462367,48.0,0.95,0.44,1.29,-0.3,-24.0,110.0,408,0.5727581787109376,False,REGULAR,USD
33,XOM200501C00048500,1586460702,48.5,0.87,0.14,1.03,-0.28999996,-24.999996,56.0,463,0.5151415673828125,False,REGULAR,USD
34,XOM200501C00049000,1586458134,49.0,0.59,0.54,1.17,-0.33000004,-35.869568,71.0,12,0.6279334082031252,False,REGULAR,USD
35,XOM200501C00050000,1586462258,50.0,0.6,0.53,0.88,-0.01999998,-3.2258034,507.0,165,0.6347692773437501,False,REGULAR,USD
36,XOM200501C00055000,1586462041,55.0,0.17,0.1,0.31,-0.030000001,-15.000001,644.0,195,0.6289099609375001,False,REGULAR,USD
