,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CSCO200717C00017500,1585749199,17.5,21.1,23.3,24.3,0.0,0.0,,0,0.82226740234375,True,REGULAR,USD
1,CSCO200717C00025000,1584040440,25.0,10.96,15.75,17.2,0.0,0.0,4.0,205,0.6191444335937502,True,REGULAR,USD
2,CSCO200717C00030000,1586445690,30.0,11.86,10.95,12.65,0.65999985,5.892856,5.0,123,0.5273484765625001,True,REGULAR,USD
3,CSCO200717C00032500,1586446686,32.5,9.76,9.05,10.1,-1.0599995,-9.796668,2.0,263,0.5852092260742188,True,REGULAR,USD
4,CSCO200717C00035000,1586356597,35.0,7.3,7.25,7.75,-0.42999983,-5.5627403,1.0,1114,0.49121602539062503,True,REGULAR,USD
5,CSCO200717C00036000,1586369523,36.0,6.76,6.4,7.55,0.0,0.0,3.0,37,0.5583540258789064,True,REGULAR,USD
6,CSCO200717C00037500,1586375400,37.5,6.0,4.9,6.1,0.0,0.0,2.0,491,0.4858449853515625,True,REGULAR,USD
7,CSCO200717C00039000,1586286675,39.0,4.6,4.4,5.35,0.0,0.0,1.0,247,0.49805189453125004,True,REGULAR,USD
8,CSCO200717C00040000,1586461079,40.0,3.8,3.7,4.0,-0.45000005,-10.588236,121.0,4204,0.39771110107421875,True,REGULAR,USD
9,CSCO200717C00041000,1586461331,41.0,3.4,3.15,3.5,0.120000124,3.6585405,1135.0,379,0.3967345483398438,True,REGULAR,USD
10,CSCO200717C00042500,1586461218,42.5,2.56,2.31,2.6,-0.21000004,-7.5812287,585.0,4260,0.3676821044921875,False,REGULAR,USD
11,CSCO200717C00044000,1586461813,44.0,1.76,1.5,1.96,-0.49,-21.777779,17.0,572,0.35645174804687496,False,REGULAR,USD
12,CSCO200717C00045000,1586459660,45.0,1.44,1.28,1.65,-0.28999996,-16.763002,97.0,2519,0.35596347167968745,False,REGULAR,USD
13,CSCO200717C00046000,1586461279,46.0,1.17,1.02,1.42,0.0,0.0,36.0,202,0.3606020971679687,False,REGULAR,USD
14,CSCO200717C00047500,1586373736,47.5,0.95,0.7,0.95,0.0,0.0,54.0,4519,0.340826904296875,False,REGULAR,USD
15,CSCO200717C00049000,1586451209,49.0,0.54,0.43,0.6,-0.060000002,-10.0,9.0,1157,0.3227606787109374,False,REGULAR,USD
16,CSCO200717C00050000,1586458015,50.0,0.38,0.3,0.49,-0.08000001,-17.391306,23.0,5143,0.3249579223632812,False,REGULAR,USD
17,CSCO200717C00052500,1586458165,52.5,0.18,0.11,0.29,-0.06999999,-27.999996,61.0,2440,0.32959654785156245,False,REGULAR,USD
18,CSCO200717C00055000,1586461777,55.0,0.08,0.07,0.11,0.0,0.0,16.0,3014,0.30762411132812495,False,REGULAR,USD
19,CSCO200717C00060000,1586460387,60.0,0.03,0.01,0.07,0.0,0.0,91.0,4010,0.35156898437499995,False,REGULAR,USD
20,CSCO200717C00065000,1586184999,65.0,0.01,0.0,0.05,0.0,0.0,1.0,488,0.39453730468750003,False,REGULAR,USD
