,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WFC200424C00015000,1584558217,15.0,13.0,17.85,18.55,0.0,0.0,,20,0.500005,True,REGULAR,USD
1,WFC200424C00020000,1584331265,20.0,7.53,12.95,13.6,0.0,0.0,,4,1.2734411328124997,True,REGULAR,USD
2,WFC200424C00021000,1585845072,21.0,6.55,11.9,12.7,0.0,0.0,,6,1.2265663671875,True,REGULAR,USD
3,WFC200424C00022000,1585673679,22.0,7.46,10.95,11.7,0.0,0.0,,1,1.1679729101562502,True,REGULAR,USD
4,WFC200424C00024000,1586198991,24.0,4.57,8.95,9.8,0.0,0.0,15.0,13,1.0293017285156252,True,REGULAR,USD
5,WFC200424C00025000,1586454695,25.0,8.51,8.15,8.65,3.3100004,63.65386,12.0,130,0.9531254687499999,True,REGULAR,USD
6,WFC200424C00026000,1586441953,26.0,7.4,7.25,7.7,3.0500002,70.114944,16.0,16,0.91992267578125,True,REGULAR,USD
7,WFC200424C00026500,1586375405,26.5,4.25,6.8,7.45,0.0,0.0,2.0,219,0.9853517089843751,True,REGULAR,USD
8,WFC200424C00027000,1586462377,27.0,6.5,6.4,6.65,2.67,69.7128,6.0,101,0.851563984375,True,REGULAR,USD
9,WFC200424C00027500,1586451264,27.5,6.48,5.9,6.25,3.9,151.1628,7.0,115,0.8330094824218748,True,REGULAR,USD
10,WFC200424C00028000,1586450216,28.0,5.88,5.5,5.85,3.23,121.88679,127.0,336,0.84179845703125,True,REGULAR,USD
11,WFC200424C00028500,1586361127,28.5,2.31,5.05,5.4,0.0,0.0,35.0,904,0.8115253222656249,True,REGULAR,USD
12,WFC200424C00029000,1586459150,29.0,4.45,4.65,4.9,2.12,90.98712,17.0,555,0.778322529296875,True,REGULAR,USD
13,WFC200424C00030000,1586461170,30.0,4.05,3.85,4.1,2.2700002,127.52811,126.0,574,0.7500025,True,REGULAR,USD
14,WFC200424C00031000,1586461163,31.0,3.26,3.05,3.35,1.97,152.71318,861.0,435,0.709963837890625,True,REGULAR,USD
15,WFC200424C00031500,1586442239,31.5,2.31,2.8,3.05,1.31,131.0,10.0,87,0.725588681640625,True,REGULAR,USD
16,WFC200424C00032000,1586462343,32.0,2.6,2.43,2.69,1.8599999,251.35133,180.0,254,0.6982452050781252,True,REGULAR,USD
17,WFC200424C00032500,1586458670,32.5,1.93,2.12,2.4,1.1999999,164.38354,348.0,554,0.6894562304687502,True,REGULAR,USD
18,WFC200424C00033500,1586459644,33.5,1.73,1.59,1.8,1.3100001,311.9048,560.0,0,0.6611362011718751,False,REGULAR,USD
19,WFC200424C00034000,1586462394,34.0,1.59,1.37,1.59,1.24,354.2857,336.0,210,0.6606479248046876,False,REGULAR,USD
20,WFC200424C00034500,1586461170,34.5,1.3,1.22,1.35,1.17,900.0,55.0,31,0.6596713720703126,False,REGULAR,USD
21,WFC200424C00035000,1586460692,35.0,1.1,1.0,1.15,0.90000004,450.0,1333.0,599,0.6455113574218749,False,REGULAR,USD
22,WFC200424C00035500,1586462021,35.5,0.94,0.83,0.98,0.64,213.33331,168.0,5,0.63867548828125,False,REGULAR,USD
23,WFC200424C00036000,1586461551,36.0,0.82,0.65,0.86,0.71999997,720.0,226.0,105,0.631839619140625,False,REGULAR,USD
24,WFC200424C00036500,1586460232,36.5,0.63,0.56,0.7,0.57,950.0,76.0,105,0.6279334082031252,False,REGULAR,USD
25,WFC200424C00037000,1586461132,37.0,0.53,0.41,0.58,0.47999996,959.99994,28.0,74,0.6113320117187502,False,REGULAR,USD
