,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MCD200619P00070000,1586451903,70.0,0.23,0.13,0.33,-0.11,-32.35294,3,378,0.989257919921875,False,REGULAR,USD
1,MCD200619P00075000,1586462158,75.0,0.34,0.31,0.38,-0.030000001,-8.1081085,11,1040,0.9790041162109376,False,REGULAR,USD
2,MCD200619P00080000,1586451102,80.0,0.4,0.01,0.81,-0.049999982,-11.111108,4,64,0.938477177734375,False,REGULAR,USD
3,MCD200619P00085000,1586440091,85.0,0.4,0.41,0.74,-0.20000002,-33.333336,10,83,0.9262702685546875,False,REGULAR,USD
4,MCD200619P00090000,1586457221,90.0,0.68,0.44,0.89,-0.07999998,-10.526314,4,308,0.8867198828124999,False,REGULAR,USD
5,MCD200619P00095000,1586273967,95.0,0.73,0.61,0.85,-0.19999999,-21.505375,7,86,0.8410660424804688,False,REGULAR,USD
6,MCD200619P00100000,1586366037,100.0,1.0,0.8,0.98,0.0,0.0,32,203,0.813478427734375,False,REGULAR,USD
7,MCD200619P00105000,1586458537,105.0,1.05,0.89,1.18,-0.2800001,-21.052637,1,462,0.780275634765625,False,REGULAR,USD
8,MCD200619P00110000,1586374416,110.0,1.4,0.25,1.48,0.0,0.0,13,349,0.6984893432617189,False,REGULAR,USD
9,MCD200619P00115000,1586441228,115.0,1.3,1.11,2.17,-0.6,-31.578949,3,148,0.745119736328125,False,REGULAR,USD
10,MCD200619P00120000,1586448103,120.0,1.7,0.9,1.75,-0.089999914,-5.0279284,14,365,0.6552768847656252,False,REGULAR,USD
11,MCD200619P00125000,1586456664,125.0,1.9,1.22,1.98,-0.35000002,-15.555556,11,269,0.6317175500488281,False,REGULAR,USD
12,MCD200619P00130000,1586462122,130.0,2.3,1.74,2.87,-0.3800001,-14.179109,53,571,0.639652041015625,False,REGULAR,USD
13,MCD200619P00135000,1586460601,135.0,2.57,2.3,4.8,-0.68000007,-20.92308,35,552,0.670047244873047,False,REGULAR,USD
14,MCD200619P00140000,1586457221,140.0,3.03,2.06,5.15,-1.1400001,-27.338133,44,568,0.6157264990234376,False,REGULAR,USD
15,MCD200619P00145000,1586455860,145.0,3.55,2.33,4.5,-0.70000005,-16.470589,20,1013,0.5485884985351563,False,REGULAR,USD
16,MCD200619P00150000,1586457808,150.0,4.15,3.7,5.35,-0.6799998,-14.078672,76,2380,0.5500533276367189,False,REGULAR,USD
17,MCD200619P00155000,1586455808,155.0,5.03,2.03,6.2,-0.9199996,-15.462178,8,1231,0.5663495513916017,False,REGULAR,USD
18,MCD200619P00160000,1586461886,160.0,5.8,5.3,6.7,-1.2599998,-17.847023,71,1028,0.5246629565429688,False,REGULAR,USD
19,MCD200619P00165000,1586458537,165.0,7.45,4.0,7.45,-1.1000004,-12.865501,22,1507,0.4897511962890626,False,REGULAR,USD
20,MCD200619P00170000,1586460354,170.0,8.32,7.5,11.0,-2.2800007,-21.50944,28,3072,0.5472457385253908,False,REGULAR,USD
21,MCD200619P00175000,1586460822,175.0,9.39,8.8,11.25,-2.8399992,-23.22158,86,2080,0.48291532714843755,False,REGULAR,USD
22,MCD200619P00180000,1586461940,180.0,11.51,11.15,12.5,-3.1799994,-21.647375,80,3681,0.44690494506835937,False,REGULAR,USD
23,MCD200619P00185000,1586461316,185.0,13.25,12.7,14.3,-4.0,-23.188406,89,1144,0.4212094012451172,True,REGULAR,USD
24,MCD200619P00190000,1586461215,190.0,15.9,14.4,17.3,-4.6000004,-22.439026,62,2808,0.42426112854003906,True,REGULAR,USD
25,MCD200619P00195000,1586449230,195.0,18.27,17.6,20.8,-4.879999,-21.07991,50,2146,0.43469803588867195,True,REGULAR,USD
26,MCD200619P00200000,1586445886,200.0,22.68,21.35,22.9,-4.17,-15.530726,4,2629,0.3911804046630859,True,REGULAR,USD
27,MCD200619P00210000,1586460649,210.0,29.17,29.1,30.45,-6.129999,-17.365438,5,1845,0.387701435546875,True,REGULAR,USD
28,MCD200619P00220000,1586440634,220.0,38.9,35.0,39.1,-21.849998,-35.967075,2,793,0.39893179199218753,True,REGULAR,USD
29,MCD200619P00230000,1585749848,230.0,72.9,45.3,49.35,0.0,0.0,12,264,0.47241738525390625,True,REGULAR,USD
30,MCD200619P00240000,1585749848,240.0,82.85,55.0,59.8,0.0,0.0,12,72,0.5520064331054688,True,REGULAR,USD
31,MCD200619P00250000,1585750689,250.0,91.15,64.5,69.4,0.0,0.0,24,19,0.5841106042480468,True,REGULAR,USD
32,MCD200619P00260000,1585750768,260.0,101.3,74.7,79.5,0.0,0.0,13,1,0.6387975573730469,True,REGULAR,USD
33,MCD200619P00270000,1585749815,270.0,113.0,84.9,89.5,0.0,0.0,9,10,0.5122119091796875,True,REGULAR,USD
34,MCD200619P00310000,1582044626,310.0,95.0,153.7,156.95,0.0,0.0,1,1,1.8406380038452146,True,REGULAR,USD
